company_name,url,description,founders,location_city,location_state,location,headquarters,linkedin_url,crunchbase_url,total_funding_normalized,total_funding,num_funding_rounds,funding_stage_progression,latest_round,latest_round_amount,latest_round_date,latest_funding_date,years_since_last_funding,total_investor_count,lead_investors,all_investors,key_investors,notable_tier1_investors,has_colorado_investors,industry_categories,business_model,company_stage,technology_focus,target_market,colorado_connection
MycoTechnology,https://mycoiq.com,"Develops novel food ingredients using mushroom mycelium fermentation, applying deep tech in biotechnology. While the company was founded earlier, it has launched new deep tech ventures and received ad","Alan Hahn, Jim Langan, Dr. Brooks Kelly, Peter Lubar",Aurora,CO,"Aurora, CO","18250 E. 40th Ave., Suite 50, Aurora, CO 80011, United States",,,$200M,$200 million,4,Series A → Series B → Series C → Series E,Series E,$85M,2023-01,2023-01,2,8,"S2G Ventures, Bunge Ventures, Emerson Collective, Tyson Ventures, Continental Grain Company","S2G Ventures, Seventure Partners, Middleland Capital, Bunge Ventures, Emerson Collective, S2G Ventures Fund II, Middleland MT Holdings, ADM Capital’s Cibus Fund, Tyson Ventures, Continental Grain Company","S2G Ventures, Bunge Ventures, Emerson Collective, Tyson Ventures, Continental Grain Company",,Yes,"Biotechnology, Food Technology, Deep Tech",B2B Food Ingredients,Growth,"Biotech, DeepTech","Consumer, Food and Beverage",High
Never Ever Ordinary,https://nevereverordinary.com,"Provides AI-driven data analytics and growth strategies for businesses, focusing on intentional data and intelligent growth. Based in Parker, Colorado[4].",Jesse Morris,Franktown,CO,"Franktown, CO","321 N Rocky Cliff Trl, Franktown, Colorado, 80116, United States",,,Unknown,Not found,0,Unknown,Unknown,Unknown,Unknown,Not found,-1,0,,,,,No,"AI, Data Analytics, Business Consulting",B2B SaaS,Early Growth,AI/ML,SMB,High
Nexo Therapeutics,https://www.nexotx.com,"Biotech company developing targeted therapies for cancer and other serious diseases, leveraging advanced drug discovery platforms[5][1].","Andrew Phillips, Ph.D., Michael Kim, Ph.D., Rhamy Zeid, Ph.D., John Athanasopoulos",Littleton,CO,"Littleton, CO","11757 West Ken Caryl Avenue, Suite F, 520, Littleton, Colorado 80127",,,$112.5M,$112.5 million,1,Series A,Series A,$60M,2023-07,2023-07,2,3,Versant Ventures,"Versant Ventures, New Enterprise Associates, Cormorant Asset Management","Versant Ventures, New Enterprise Associates, Cormorant Asset Management",,No,"Biotech, Pharmaceuticals",Biotech,Early Growth,Biotech,Healthcare,High
Nextworld,https://www.nextworld.net,Provides enterprise software solutions leveraging AI and machine learning for business process automation and data analytics. Raised $65M Series F funding in 2025[1].,"Kylee McVaney, Vito Solimene, Konrad Rogers, Axel Allgeier",Greenwood Village,CO,"Greenwood Village, CO","8200 East Maplewood Avenue, Greenwood Village, Colorado 80111, United States",,,$67M,$67 million,1,Unknown,Series F,$65M,2025-02,2025-02,0,1,McVaney Investment Partnership,McVaney Investment Partnership,McVaney Investment Partnership,,Yes,"AI, Enterprise Software, SaaS",B2B SaaS,Growth,AI/ML,Enterprise,High
NexusTek,https://www.nexustek.com,"Managed IT services provider specializing in cloud, cybersecurity, and enterprise software; founded by technical professionals[8].",Not found,Greenwood Village,CO,"Greenwood Village, CO","8100 E Maplewood Ave, Suite 220, Greenwood Village, CO 80111",,,Unknown,Not found,1,Unknown,Private equity,Unknown,2023-05,2023-05,2,3,"ABRY Partners, A&M Capital Partners, Lightview Capital","ABRY Partners, A&M Capital Partners, Lightview Capital","ABRY Partners, A&M Capital Partners, Lightview Capital",,No,"Managed IT Services, Cybersecurity, Cloud Computing",B2B Services,Growth,"Cloud, Cybersecurity, AI",Enterprise,High
Nimble Gravity,https://nimblegravity.com,"Offers data science, AI, and digital transformation consulting for e-commerce and enterprise clients. Based in Denver, Colorado[2].","Tony Aug, Joe Ackert, Darryl Shaper",Denver,CO,"Denver, CO","3000 Lawrence St, Ste. 140, Denver, CO 80205",https://www.linkedin.com/company/nimble-gravity/,,Unknown,Not found,0,Unknown,Unknown,Unknown,Unknown,Not found,-1,0,,,,,No,"Data Science, AI, Digital Transformation",B2B Consulting,Growth,"AI, Data Science","E-commerce, Enterprise",High
Nira Energy,https://niraenergy.com,Nira Energy provides advanced battery analytics and management systems to optimize energy storage and improve grid sustainability.,"Chris Ariante, Andy Chen, Andrew Martin",Denver,CO,"Denver, CO","312 17th Street, Unit 2044, Denver, Colorado, 80202",,,$66M,$66 million,2,Seed → Seed VC,Seed VC,$500K,2025-05,2025-05,0,2,"Energize Capital, Y Combinator","Energize Capital, Y Combinator","Energize Capital, Y Combinator",,No,"Energy, CleanTech, Battery Management",B2B SaaS,Seed,CleanTech,Enterprise,High
Numerai,https://www.numer.ai,"Denver-based hedge fund using crowdsourced artificial intelligence models for stock market trades, raised $17.5M across 3 funding rounds",Not found,Denver,CO,"Denver, CO",Not found,,,$17.5M,$17.5M,3,Unknown,Unknown,Unknown,Unknown,Not found,-1,3,"Union Square Ventures, Co-founder of Renaissance, Co-founder of Coinbase","Union Square Ventures, Co-founder of Renaissance, Co-founder of Coinbase","Union Square Ventures, Co-founder of Renaissance, Co-founder of Coinbase",,No,"Finance, AI, Hedge Fund",B2B,Early Growth,AI/ML,Enterprise,High
Numerica Corporation,https://www.numerica.us,"Specializes in defense technology, offering advanced solutions in air and missile defense, space domain awareness, and data analytics. Based in Fort Collins[10].","Aubrey Poore, Jeff Poore, Nenad Rijavec",Fort Collins,CO,"Fort Collins, CO","5042 Technology Parkway, Suite 100, Fort Collins, Colorado, 80528, United States",,,$25.65M,$1.5 million,3,Unknown,Loan,$1.5M,2020,2020,5,0,,,,,No,"Defense Technology, Aerospace, Data Analytics",B2B Hardware,Early Growth,"Defense, AI, Data Analytics",Government,High
Octave Photonics,https://www.octavephotonics.com,Colorado-based photonics company providing components and infrastructure for quantum computing applications.,"David Carlson, Zach Newman",Boulder,CO,"Boulder, CO",Not found,https://www.linkedin.com/company/octavephotonics,,Unknown,Not found,4,Unknown,Phase II SBIR,Unknown,2022,2022,3,3,"NASA, DARPA, Office of Naval Research","NASA, DARPA, Office of Naval Research","NASA, DARPA, Office of Naval Research",,No,"Photonics, Quantum Computing, Aerospace",Hardware,Early Growth,"Photonics, Quantum Technology","Government, Research",High
Onconaut Therapeutics Inc,https://www.onconaut.com,"Developing a first-in-class inhibitor of a protein that drives tumor growth, metastasis, and drug resistance in colorectal and other solid tumors. (Early-Stage Capital grant recipient, $246,868)","Dan LaBarbera, Neal Goodwin, Tony Piscopio, Rich Woessner, Joanna Money, Gavin Maitland",Denver,CO,"Denver, CO",Not found,,,$0.25M,"$246,868",1,Unknown,Early-Stage Capital grant,$0.25M,2022,2022,3,1,Unknown,Unknown,,,No,"Biotech, Pharmaceuticals",Biotechnology,Early Growth,Biotech,Healthcare,High
Optera,https://opteraclimate.com,"Delivers enterprise software to help organizations measure, manage, and reduce their greenhouse gas emissions and advance climate action[5][7].","Tim Weiss, Jason Denner, Ty Colman",Boulder,CO,"Boulder, CO","1215 Spruce St, Suite 201, Boulder, CO 80302",,,$17.97M,$17.97 million,2,Seed-2 → Series A,Series A,$12M,2023-09,2023-09,2,9,Next Frontier Capital,"Next Frontier Capital, Blackhorn Ventures, Mucker Capital, Overture, Engage, Massive, SaaS Ventures, Valo Ventures, AngelList, Stout Street Capital","Next Frontier Capital, Blackhorn Ventures, Mucker Capital, Overture, Engage, Massive, SaaS Ventures, Valo Ventures, AngelList, Stout Street Capital",,Yes,"CleanTech, SaaS, Enterprise Software",B2B SaaS,Early Growth,CleanTech,Enterprise,High
Orbit Fab,https://www.orbitfab.com,Colorado-based aerospace startup with $42.2M funding,"Daniel Faber, Shawn Hendricks",Lafayette,CO,"Lafayette, CO",Not found,,,$42.2M,$42.2M,1,Seed,Seed,$42.2M,Unknown,Not found,-1,2,"Lockheed Martin, Northrop Grumman","Lockheed Martin, Northrop Grumman","Lockheed Martin, Northrop Grumman",,No,"Aerospace, Space Services",B2B Services,Seed,Aerospace Technology,"Government, Commercial",High
Orion,https://www.orion.com,"AI-powered risk intelligence platform for enterprises, recently secured $3.5M in funding and is still private[17].",Not found,Denver,CO,"Denver, CO",Not found,,,$3.5M,$3.5 million,1,Seed,Seed,$3.5M,2025-11,2025-11,0,4,Dynamo Ventures,"Dynamo Ventures, Bravo Victor Venture Capital (BVVC), Techstars, Service Provider Capital","Dynamo Ventures, Bravo Victor Venture Capital (BVVC), Techstars, Service Provider Capital",,Yes,"AI, Risk Intelligence, Enterprise Software",B2B SaaS,Seed,AI/ML,Enterprise,High
Otter Products,https://otterproducts.com,"**Consumer electronics accessories company** known for OtterBox cases, expanding into new product lines. Fort Collins-based, recently received growth investment[9].","Curt Richardson, Nancy Richardson",Fort Collins,CO,"Fort Collins, CO","209 South Meldrum Street, Fort Collins, Colorado 80521",https://www.linkedin.com/company/otterproducts/,,Unknown,Not found,0,Unknown,Unknown,Unknown,Unknown,Not found,-1,0,,,,,No,"Consumer Electronics, Accessories",Consumer,Growth,Consumer Electronics,Consumer,High
Outrider,https://outrider.ai,"Develops autonomous yard operations technology for logistics hubs, automating the movement of trailers and containers to improve efficiency and safety[1].",Andrew Smith,Brighton,CO,"Brighton, CO","22600 East I-76 Frontage Road, Suite 200, Brighton, Colorado, 80603, United States",,,$253M,$253 million,5,Seed → Series A → Series B → Series C → Series D,Series D,$62M,2024-10,2024-10,1,12,"Koch Disruptive Technologies (KDT), New Enterprise Associates (NEA), 8VC, FM Capital","Koch Disruptive Technologies (KDT), New Enterprise Associates (NEA), 8VC, FM Capital, NVentures (NVIDIA), Abu Dhabi Investment Authority (ADIA), B37 Ventures, Lineage Ventures, Presidio Ventures (Sumitomo Corporation), ROBO Global Ventures, ARK Invest, Interwoven Ventures, Prologis Ventures","Koch Disruptive Technologies (KDT), New Enterprise Associates (NEA), 8VC, FM Capital, NVentures (NVIDIA), Abu Dhabi Investment Authority (ADIA), B37 Ventures, Lineage Ventures, Presidio Ventures (Sumitomo Corporation), ROBO Global Ventures, ARK Invest, Interwoven Ventures, Prologis Ventures",,No,"Logistics, Automation, Technology",B2B Hardware,Growth,"Autonomous Systems, Robotics",Enterprise,High
Outside VC,https://outside-vc.com,"Early-stage venture capital firm and fintech platform based in Denver, offering investment opportunities and financial products. Founded in 2022[2].",Ethan Austin,Denver,CO,"Denver, CO",Not found,,,Unknown,Not found,0,Unknown,Unknown,Unknown,Unknown,Not found,-1,9,"Better Tomorrow Ventures, Techstars, Hustle Fund","Better Tomorrow Ventures, Techstars, Hustle Fund, M13, Long Journey Ventures, Afore Capital, Scale Venture Partners, Chingona Ventures, Starting Line","Better Tomorrow Ventures, Techstars, Hustle Fund, M13, Long Journey Ventures, Afore Capital, Scale Venture Partners, Chingona Ventures, Starting Line",,No,"FinTech, Venture Capital",Investment Platform,Early Growth,FinTech,"SMB, Consumer",High
Parsyl,https://www.parsyl.com/,"Parsyl provides real-time supply chain visibility and data analytics for life sciences and logistics, helping companies monitor and protect temperature-sensitive products.","Ben Hubbard, Alex Haar, Mike Linton",Denver,CO,"Denver, CO","2800 Walnut Street, Suite 300, Denver, CO 80205",,,$66M,$66 million,2,Series B → Series C,Series C,$20M,2025-01,2025-01,0,5,"The Lightsmith Group, HSCM Ventures","The Lightsmith Group, HSCM Ventures, GLP Capital Partners, Lineage Ventures, FirstTracks Ventures","The Lightsmith Group, HSCM Ventures, GLP Capital Partners, Lineage Ventures, FirstTracks Ventures",,No,"Logistics, Life Sciences, Data Analytics",B2B SaaS,Growth,"Data Analytics, Supply Chain Management",Enterprise,High
Pathify,https://pathify.com,"Delivers a modern engagement platform for higher education institutions, enabling improved digital campus experiences and communication[1][5].","Chase Williams, James McCubbin",Greenwood Village,CO,"Greenwood Village, CO","5910 S University Blvd Ste C-18, Greenwood Village, Colorado, 80121, United States",,,$39.36M,$39.36 million,1,Growth Equity,Growth Equity,$25M,2025-02,2025-02,0,1,Five Elms Capital,Five Elms Capital,Five Elms Capital,,Yes,"EdTech, SaaS, Higher Education",B2B SaaS,Growth,Digital Engagement Platforms,Higher Education,High
Pax8,https://www.pax8.com,"Pax8 is a cloud commerce marketplace simplifying the buying, selling, and managing of cloud solutions for managed service providers. John Street is the founder and CEO[5].","John Street, Scott Chasin",Greenwood Village,CO,"Greenwood Village, CO","6363 S. Fiddlers Green Circle, Suite 1100, Greenwood Village, CO 80111",,,$395.5M,$395.5M,4,Pre-Seed → Venture → Series B → Series C,Series C,$185M,2022-04,2022-04,3,5,"SoftBank Vision Fund 2, Catalyst Investors, Sageview Capital, Blue Cloud Ventures, Liberty Global Ventures","Not disclosed, FirstMile Ventures, SoftBank Vision Fund 2, Catalyst Investors, Sageview Capital, Blue Cloud Ventures, Liberty Global Ventures","SoftBank Vision Fund 2, Catalyst Investors, Sageview Capital, Blue Cloud Ventures, Liberty Global Ventures",SoftBank Vision Fund 2,No,"Cloud Commerce, SaaS, Marketplace",B2B SaaS,Growth,Cloud Solutions,Managed Service Providers,High
Peak Energy,https://www.peakenergy.com/,"Peak Energy is an energy company focused on developing and deploying clean energy solutions, including solar and storage technologies.","Landon Mossburg, Cameron Dales, Liam O’Connor",Broomfield,CO,"Broomfield, CO","100 Technology Dr, Suite 200, Broomfield, CO 80021, USA",https://www.linkedin.com/feed/update/urn:li:activity:7317986544961675264/,https://www.crunchbase.com/organization/peak-energy,$65M,$65 million,2,Seed → Series A,Series A,$55M,2024-07,2024-07,1,8,"Eclipse, Xora Innovation (Temasek)","Eclipse, Xora Innovation (Temasek), TDK Ventures, Lachy Groom, Tishman Speyer, TechEnergy Ventures, Doral Energy-Tech Ventures, DETV-Scania Invest","Xora Innovation (Temasek), Eclipse, TDK Ventures, Lachy Groom, Tishman Speyer, TechEnergy Ventures, Doral Energy-Tech Ventures, DETV-Scania Invest",,No,"Clean Energy, Energy Storage, Technology",Hardware,Early Growth,CleanTech,"Enterprise, Government",High
Peregrine Energy Solutions,https://www.peregrineenergysolutions.com,Develops and operates clean energy storage projects to support renewable energy integration[3].,Hagen Lee,Boulder,CO,"Boulder, CO","1495 Canyon Blvd, Suite 235, Boulder, Colorado, 80302, United States",https://www.linkedin.com/company/peregrine-energy-solutions/,https://www.crunchbase.com/organization/peregrine-energy-solutions,$1.367B,$1.367 billion,5,Series B → Series C → New Capital → Preferred Equity & Project Financing → Mixed Round,Preferred Equity & Project Financing,$317M,2025-03,2025-03,0,13,"Sequoia Capital, Fifth Down Capital, Friends & Family Capital, Godfrey Capital, Goldcrest Capital","Sequoia Capital, Fifth Down Capital, Friends & Family Capital, Godfrey Capital, Goldcrest Capital, O.G. Venture Partners, Ministry of Environment of South Korea, IMM Investment, Woori Private Equity Asset Management, AB CarVal, Bildmore Clean Energy, First Citizens Bank, Societe Generale, Siemens Financial Services, East West Bank","Sequoia Capital, Fifth Down Capital, Friends & Family Capital, Godfrey Capital, Goldcrest Capital, O.G. Venture Partners, Ministry of Environment of South Korea, IMM Investment, Woori Private Equity Asset Management, AB CarVal, Bildmore Clean Energy, First Citizens Bank, Societe Generale, Siemens Financial Services, East West Bank",Sequoia Capital,No,"Clean Energy, Energy Storage, Renewable Energy",B2B Clean Energy Solutions,Growth,CleanTech,"Government, Utilities, Corporations",High
Pie Insurance,https://pieinsurance.com,"**Insurtech startup** providing workers’ compensation insurance for small businesses, using data-driven pricing. Denver-based, recently raised a large Series D[9][13].","John Swigart, Dax Craig",Denver,CO,"Denver, CO","1755 Blake Street, 5th Floor, Denver, CO 80202",https://www.linkedin.com/company/pie-insurance,,$615M,$615 million,5,Series A → Series B → Series B Extension → Series C → Series D,Series D,$315M,2022-09,2022-09,3,9,"Centerbridge Partners, Allianz X","Allianz X, Acrew Capital, SVB Capital, Greycroft, Gallatin Point Capital, SiriusPoint, Aspect Ventures, Elefund, Moxley Holdings, White Mountains Insurance Group","Allianz X, Acrew Capital, SVB Capital, Greycroft, Gallatin Point Capital, SiriusPoint, Aspect Ventures, Elefund, Moxley Holdings, White Mountains Insurance Group",,No,"Insurtech, Financial Services",B2B Insurance,Growth,Data-driven pricing,SMB,High
Pioneer Energy,https://www.pioneerenergy.com,"Energy technology company developing modular processing systems for oil and gas, raised $27M in recent funding[3].",Eyal Aronoff,Lakewood,CO,"Lakewood, CO","190 S Union Blvd, Lakewood, Colorado, 80228, United States",,,$27M,$27 million,1,Unknown,Unknown,Unknown,2025-01,2025-01,0,1,U.S. Department of Energy,U.S. Department of Energy,,,Yes,"Energy, CleanTech",Hardware,Early Growth,CleanTech,Enterprise,High
Pluto Biosciences,https://pluto.bio,Colorado-based biotech startup with $4.7M funding,Not found,Denver,CO,"Denver, CO",Not found,,,$4.7M,$4.7M,1,Seed,Seed,$4.7M,2023,2023,2,2,"Kickstart, Silverton Partners","Kickstart, Silverton Partners","Kickstart, Silverton Partners",,Yes,"Biotech, Healthcare, Life Sciences",B2B SaaS,Seed,Biotech,Enterprise,High
Point Designs,https://pointdesigns.com,"Designs and manufactures prosthetic devices using advanced materials and additive manufacturing. Founded in 2020 in Colorado, Point Designs has secured venture capital and is a deep tech leader in med","Levin Sliker, Stephen Huddle, Richard Weir, Jacob Segil",Broomfield,CO,"Broomfield, CO","2100 West 6th Ave, Broomfield, Colorado, 80020, United States",,,Unknown,Not found,0,Unknown,Unknown,Unknown,Unknown,Not found,-1,0,,,,,No,"Medical Devices, Prosthetics, Additive Manufacturing",Hardware,Early Growth,"DeepTech, Biotech",Consumer,High
Posterity Health,https://www.posterityhealth.com,"Colorado-based digital health platform for male fertility, recently raised a Seed round but is a notable healthcare tech startup[1].","Pamela Pure, Dr. Barrett Cowan",Englewood,CO,"Englewood, CO","9100 East Panorama Drive, Englewood, Colorado, 80112, United States",,,$32.5M,$32.5 million,4,Seed → Venture → Series A,Series A,$13M,2025-02,2025-02,0,6,"Georgetown Equity Partners, FCA Venture Partners, Distributed Ventures","Georgetown Equity Partners, FCA Venture Partners, Distributed Ventures, WVV Capital, SteelSky Ventures, Scrub Capital","Georgetown Equity Partners, FCA Venture Partners, Distributed Ventures, WVV Capital, SteelSky Ventures, Scrub Capital",,No,"Digital Health, Healthcare Technology, Male Fertility",B2C,Early Growth,HealthTech,Consumer,High
Precog Data,https://www.precog.com,Provides AI-driven data integration and analytics solutions for enterprises; recently funded and scaling in Colorado[1].,"Jeff Carr, Becky Conning, Mike Corbisiero",Boulder,CO,"Boulder, CO","1919 14th Street, Suite 700, Boulder, Colorado, 80302, United States",,,$24.53M,$24.53M,2,Seed/A → Series B,Series B,$24.53M,2025-01,2025-01,0,5,"Venture Guides, Streamlined Ventures, Circadian Ventures","Streamlined Ventures, Circadian Ventures, Venture Guides, First In Ventures, CoFound Partners","Venture Guides, Streamlined Ventures, Circadian Ventures, First In Ventures, CoFound Partners",,Yes,"AI, Data Integration, Analytics, SaaS",B2B SaaS,Early Growth,AI/ML,Enterprise,High
Prins AI,https://prins.ai,"Develops deep learning technology for digital identity training platforms, enabling creation of digital human identities for video content; raised $100M Series B in October 2023[5].",Dr. Sophia Chen,Lakewood,CO,"Lakewood, CO","499 South Vance Street, Lakewood, Colorado, 80226, United States",,,$132M,$132M,3,Seed → Series A → Series A+ → Series B,Series B,$100M,2023-10,2023-10,2,4,AAB Venture Capital,"AAB Venture Capital, Kleiner Perkins, Base10 Partners, Paradigm","AAB Venture Capital, Kleiner Perkins, Base10 Partners, Paradigm",Kleiner Perkins,No,"AI, Deep Learning, Digital Identity",B2B SaaS,Growth,"DeepTech, AI/ML",Enterprise,High
"Project Canary, PBC",https://www.projectcanary.com,"Provides environmental data and emissions monitoring solutions for the energy industry, helping companies meet ESG goals and regulatory requirements[5][1].","William Foiles, Chris Romer",Denver,CO,"Denver, CO","1200 17th St, Floor 26, Denver, CO 80202",,,Unknown,Not found,2,Series A → Series B,Series B,$111M,2022-02,2022-02,3,7,Insight Partners,"Insight Partners, Brookfield Growth, Canada Pension Plan Investment Board, Carica Sustainable Investments, Quantum Energy Partners, Energy Impact Partners, Frontier Venture Capital","Insight Partners, Brookfield Growth, Canada Pension Plan Investment Board, Carica Sustainable Investments, Quantum Energy Partners, Energy Impact Partners, Frontier Venture Capital",,No,"CleanTech, Environmental Data, Emissions Monitoring",B2B SaaS,Growth,CleanTech,Enterprise,High
Proof Technology,https://www.proofserve.com,"Provides a nationwide platform for legal service of process, offering transparency and verification for legal document delivery[5][1].",Pat Kinsel,Denver,CO,"Denver, CO","1800 Gaylord St, Denver, Colorado, 80206, United States",,,$37.8M,$37.8M,3,Pre-Series → Pre-Series → Series B,Series B,$30.4M,2024-01,2024-01,1,3,Long Ridge Equity Partners,"Long Ridge Equity Partners, Blue Heron Capital, The LegalTech Fund","Long Ridge Equity Partners, Blue Heron Capital, The LegalTech Fund",,No,"LegalTech, SaaS, Technology",B2B SaaS,Growth,Legal Technology,"Enterprise, SMB",High
Quadratic,https://www.quadratic.to,"Develops collaborative data tools and spreadsheet software for teams, enabling real-time data analysis and workflow automation[5][1].","David Kircos, Peter Mills",Boulder,CO,"Boulder, CO",Not found,,,$5.6M,$5.6 million,1,Seed,Seed,$5.6M,2022,2022,3,1,GV (Google Ventures),GV (Google Ventures),GV (Google Ventures),,No,"Software, AI, Data Analysis",B2B SaaS,Seed,AI/ML,Enterprise,High
Quantinuum,https://quantinuum.com,"A quantum computing company formed from the merger of Honeywell Quantum Solutions and Cambridge Quantum, headquartered in Colorado and led by technical founders[6][9].",Ilyas Khan,Broomfield,CO,"Broomfield, CO","303 South Technology Court, Broomfield, Colorado, 80021, United States",https://www.linkedin.com/company/quantinuumqc/,,$900M,$900 million,2,Series A → Series B,Series B,$600M,2025-08,2025-08,0,6,"Honeywell, NVentures (NVIDIA), Quanta Computer","Honeywell, NVentures (NVIDIA), Quanta Computer, QED Investors, Fidelity Investments, JPMorgan Chase","Honeywell, NVentures (NVIDIA), Quanta Computer, QED Investors, Fidelity Investments, JPMorgan Chase",,No,"Quantum Computing, Technology, Software",B2B Hardware and Software,Growth,Quantum Computing,Enterprise,High
Quantum Metric,https://www.quantummetric.com,"Provides a digital experience analytics platform for enterprises; founded by technical founder Mario Ciabarra, raised $200M in VC funding, and is Colorado Springs’ first unicorn[5].","Mario Ciabarra, David Wang",Colorado Springs,CO,"Colorado Springs, CO","10807 New Allegiance Dr, Ste 155, Colorado Springs, CO 80921, USA",,,$251M,$251 million,4,Seed → Series A → Debt → Series B,Series B,$200M,2021-01,2021-01,4,4,"Bain Capital Ventures, Insight Partners","Bain Capital Ventures, Insight Partners, Endeavor Catalyst, Silicon Valley Bank","Bain Capital Ventures, Insight Partners, Endeavor Catalyst, Silicon Valley Bank",,No,"Digital Analytics, SaaS, Enterprise Software",B2B SaaS,Growth,AI/ML,Enterprise,High
QuikrStuff,https://www.quikrstuff.com,Bike rack manufacturer that opened during the 2020 pandemic and bootstrapped through supply chain challenges,"Bryan Wachs, Cal Phillips",Grand Junction,CO,"Grand Junction, CO","806 South Ave, Grand Junction, CO 81501",,,Unknown,Not found,0,Unknown,Unknown,Unknown,Unknown,Not found,-1,0,,,,,No,"Manufacturing, Consumer Goods, Cycling",Hardware,Early Growth,Unknown,Consumer,High
RADICL Defense,https://radicl.com,Cybersecurity company providing managed detection and response services for small and midsize businesses[1].,"Chris Petersen, Matt Petersen, David Graff",Boulder,CO,"Boulder, CO","1222 Pearl Street, Ste 200, Boulder, CO 80302, USA",,,$12M,$12M,2,Pre-seed → Early-stage,Early-stage,$9M,2023-11,2023-11,2,5,"Access Venture Partners, Paladin Capital Group","Access Venture Partners, Paladin Capital Group, DA Ventures Seed Fund, Cyber Mentor Fund, Strategic angel investors","Paladin Capital Group, Access Venture Partners, DA Ventures Seed Fund, Cyber Mentor Fund, Strategic angel investors",,Yes,"Cybersecurity, Managed Services",B2B SaaS,Early Growth,Cybersecurity,SMB,High
Range Ventures,https://www.range.vc,"Denver-based venture capital firm supporting technical founders in software and hardware startups; co-founded by Chris Erickson, a technical entrepreneur[3].","Chris Erickson, Adam Burrows",Denver,CO,"Denver, CO","1312 17th St Ste 618, Denver, CO 80202, United States",,https://www.cbinsights.com/investor/range-ventures,$62M,$62 million,2,Unknown,Fund II,$39M,2024-10,2024-10,1,8,"Brad Feld, Seth Levine, Lee Mayer, Bryan Leach, Rachel Romer Carlson","Brad Feld, Seth Levine, Lee Mayer, Bryan Leach, Rachel Romer Carlson, Bijal Shah, S-Cubed Capital, Eric Roza","Brad Feld, Seth Levine, Lee Mayer, Bryan Leach, Rachel Romer Carlson, Bijal Shah, S-Cubed Capital, Eric Roza",,Yes,"Venture Capital, Software, Hardware",Venture Capital,Early Growth,"Software, Hardware",Startups,High
Red Canary,https://redcanary.com,Provides cybersecurity solutions focused on managed detection and response for organizations[1][11].,"Brian Beyer, Keith McCammon, Chris Rothe",Denver,CO,"Denver, CO","1601 19th Street, Suite 900, Denver, CO 80202, United States",,,$129.9M,$129.9 million,5,Seed → Series A → Venture Round → Series B → Series C,Series C,$81M,2021,2021,4,6,"Summit Partners, Kyrus, Access Venture Partners, Noro-Moseley Partners","Kyrus, Access Venture Partners, Noro-Moseley Partners, Service Provider Capital, Summit Partners","Summit Partners, Noro-Moseley Partners, Access Venture Partners, Kyrus",,Yes,"Cybersecurity, Managed Detection and Response, Technology",B2B SaaS,Growth,"Cybersecurity, AI",Enterprise,High
Redaptive,https://redaptive.com,"Provides energy-as-a-service solutions, helping organizations implement energy efficiency and renewable energy projects with no upfront capital expenditure[1].","Arvin Vohra, John Rhow, Ryan Martineau",Denver,CO,"Denver, CO","1601 19th Street, 8th Floor, Denver, Colorado 80202",https://www.linkedin.com/company/redaptive-inc/,,$1.0165B,$1.0165 billion,10,Debt Financing → Venture Round → Series C → Series E → Corporate Round → Series E (additional) → Debt Financing → Debt Financing → Private Equity → Debt Financing,Debt Financing,$650M,2025-05,2025-05,0,6,"AB CarVal Investors, CPP Investments, Linse Capital, Honeywell","AB CarVal Investors, CPP Investments, Linse Capital, Honeywell, Deutsche Bank, ATLAS SP Partners","AB CarVal Investors, CPP Investments, Linse Capital, Honeywell, Deutsche Bank, ATLAS SP Partners",,No,"CleanTech, Energy, Infrastructure",B2B Services,Growth,"Energy-as-a-Service, Renewable Energy",Enterprise,High
RemoteLock,https://www.remotelock.com,Provides cloud-based software to control Wi-Fi locks for property managers and enterprises; founded by technical entrepreneur Nolan Mondrow[1].,"Nolan Mondrow, John Cargile, Barclay Friesen",Denver,CO,"Denver, CO","100 E Tennessee Ave, Denver, CO 80209, United States",,,$23.6M,$23.6 million,2,Series A → Series B,Series B,$17.8M,2022-03,2022-03,3,3,"Iron Gate Capital, UnitLeader","Iron Gate Capital, UnitLeader, Kozo Keikaku Engineering Inc. (KKE)","Iron Gate Capital, UnitLeader, Kozo Keikaku Engineering Inc. (KKE)",,No,"SaaS, Property Management, IoT",B2B SaaS,Growth,IoT,"Enterprise, Property Managers",High
Resurface Labs,https://resurface.io,API security and observability platform for monitoring and protecting API traffic[1].,"Rob Dickinson, Christine Bottagaro",Boulder,CO,"Boulder, CO","4845 Pearl East Circle, Suite 101, Boulder, CO 80301, United States",,,$2M,$2 million,1,Seed,Seed,$2M,2020-10,2020-10,5,6,Access Venture Partners,"Access Venture Partners, Alerion Ventures, FirstMile Ventures, SaaS Ventures, Village Global, several angel investors","Access Venture Partners, Alerion Ventures, FirstMile Ventures, SaaS Ventures, Village Global",,Yes,"API Security, SaaS, Cybersecurity",B2B SaaS,Seed,"Cybersecurity, API Management",Enterprise,High
